                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.2571,                 1.0457,                 1.2614,                0.44467,                0.23636,                0.22105,                  0.098,                 2.2129,                 2.4681,                 2.1338,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.2128,                0.99944,                  1.259,                0.41968,                0.22234,                0.20356,                0.08885,                 2.2502,                  2.452,                 2.1522,              0.0005348,              0.0005348,              0.0005348
                    150,                 1.1993,                 1.0181,                 1.2389,                0.44451,                0.22975,                0.21594,                0.09143,                 2.2367,                 2.4619,                 2.1894,              0.0005249,              0.0005249,              0.0005249
                    151,                 1.1855,                 1.0025,                 1.2331,                 0.4246,                0.26446,                0.24225,                 0.1023,                 2.2034,                 2.4427,                 2.1711,               0.000515,               0.000515,               0.000515
                    152,                 1.1704,                0.96604,                   1.21,                0.44651,                0.25124,                0.22621,                0.09633,                 2.1969,                 2.4339,                 2.1494,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.2007,                0.99379,                 1.2468,                0.44389,                0.24132,                0.22758,                0.09909,                 2.2138,                 2.4693,                 2.1698,              0.0004952,              0.0004952,              0.0004952
                    154,                 1.1837,                0.99128,                 1.1956,                0.44813,                0.24793,                0.22892,                  0.096,                 2.1957,                 2.4426,                 2.1311,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.2491,                 1.0336,                 1.2508,                0.45107,                0.24463,                0.22561,                0.09335,                 2.2356,                 2.4185,                 2.1384,              0.0004754,              0.0004754,              0.0004754
                    156,                 1.1459,                0.95495,                 1.2055,                 0.3708,                0.24628,                 0.2106,                0.09141,                 2.2144,                 2.5915,                 2.1312,              0.0004655,              0.0004655,              0.0004655
                    157,                 1.1794,                0.97003,                 1.2249,                0.53574,                0.21488,                0.22008,                0.09272,                 2.2383,                 2.6415,                 2.1633,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.1759,                0.94557,                 1.2041,                0.42282,                0.24628,                0.23012,                0.09618,                 2.2751,                 2.5539,                 2.2085,              0.0004457,              0.0004457,              0.0004457
                    159,                 1.1878,                0.98034,                 1.2113,                0.43947,                0.25455,                0.23287,                0.09614,                 2.2132,                 2.4714,                 2.1627,              0.0004358,              0.0004358,              0.0004358
                    160,                   1.19,                0.99534,                 1.2322,                0.42637,                0.25455,                0.23382,                0.09902,                 2.2165,                 2.4127,                 2.1917,              0.0004259,              0.0004259,              0.0004259
                    161,                 1.1697,                0.95589,                 1.2013,                0.48512,                 0.2562,                0.24441,                0.10243,                 2.2553,                 2.3315,                  2.238,               0.000416,               0.000416,               0.000416
                    162,                 1.1382,                0.95647,                 1.2018,                0.47341,                0.26446,                0.24511,                0.10035,                 2.2544,                 2.3082,                 2.2415,              0.0004061,              0.0004061,              0.0004061
                    163,                 1.1749,                0.96098,                 1.2195,                0.46444,                0.24793,                0.22488,                0.09306,                 2.2651,                 2.3867,                 2.2459,              0.0003962,              0.0003962,              0.0003962
                    164,                 1.1204,                0.91609,                 1.1953,                0.50782,                0.23636,                0.22399,                0.09054,                 2.2677,                 2.4051,                 2.2267,              0.0003863,              0.0003863,              0.0003863
                    165,                 1.1279,                0.94572,                 1.1705,                0.47373,                0.23967,                0.23376,                0.09606,                 2.2934,                 2.3834,                 2.2545,              0.0003764,              0.0003764,              0.0003764
                    166,                 1.1386,                0.93247,                 1.1859,                0.45688,                0.26116,                0.24313,                 0.0959,                 2.2358,                  2.366,                 2.1938,              0.0003665,              0.0003665,              0.0003665
                    167,                 1.1214,                0.94343,                 1.1807,                0.44192,                0.23471,                0.22338,                0.09361,                 2.2512,                 2.4195,                 2.2417,              0.0003566,              0.0003566,              0.0003566
                    168,                 1.1439,                0.94276,                 1.1982,                0.47749,                 0.2314,                0.22282,                0.09479,                 2.2344,                 2.4356,                 2.2143,              0.0003467,              0.0003467,              0.0003467
                    169,                 1.1123,                0.93931,                  1.174,                0.51311,                0.22645,                0.23156,                0.09864,                  2.251,                 2.4595,                 2.2217,              0.0003368,              0.0003368,              0.0003368
                    170,                 1.0799,                0.90676,                 1.1798,                0.39429,                0.27107,                0.23706,                0.09983,                 2.2238,                 2.4573,                 2.1958,              0.0003269,              0.0003269,              0.0003269
                    171,                 1.1089,                0.91013,                 1.1587,                0.35064,                0.28264,                0.23724,                0.10154,                 2.2219,                 2.4618,                 2.1866,               0.000317,               0.000317,               0.000317
                    172,                 1.0898,                0.88818,                 1.1595,                0.41212,                0.27438,                0.24271,                0.10131,                 2.2324,                 2.4873,                 2.2284,              0.0003071,              0.0003071,              0.0003071
                    173,                 1.0915,                0.90994,                 1.1773,                0.38981,                0.28099,                 0.2381,                 0.0999,                 2.2429,                 2.5565,                 2.2464,              0.0002972,              0.0002972,              0.0002972
