                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8802,                   1.91,                 1.7449,                0.27643,                0.18678,                0.14487,                0.05657,                 2.3173,                 2.3635,                 2.0781,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.9189,                 1.9215,                 1.7319,                0.32019,                0.18512,                0.14674,                0.05733,                 2.1788,                 2.4219,                  2.025,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.8686,                 1.8419,                 1.7255,                0.35329,                0.19339,                0.18293,                0.07505,                 2.1885,                 2.2567,                 1.9711,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.8462,                 1.8017,                 1.6729,                0.33391,                0.21488,                0.19162,                0.07636,                 2.2182,                 2.4596,                  1.965,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.8515,                 1.8668,                 1.6861,                0.30808,                0.19835,                0.17053,                0.07129,                 2.1927,                  2.271,                 1.9801,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.8271,                  1.817,                 1.6497,                0.37579,                0.22314,                0.21022,                0.08884,                 2.1503,                 2.1842,                 1.8913,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.8081,                 1.7798,                  1.629,                0.38711,                0.20992,                0.19662,                0.08055,                   2.16,                 2.2626,                 1.9547,               0.001604,               0.001604,               0.001604
                     42,                 1.8084,                 1.7351,                 1.6529,                0.36049,                0.21322,                0.21118,                0.08975,                 2.1568,                 2.1309,                 1.9096,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.8052,                 1.7484,                  1.639,                  0.421,                0.21322,                0.21092,                0.08785,                   2.16,                 2.1425,                 1.9011,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.7952,                 1.7022,                 1.6492,                0.36937,                0.21322,                0.20494,                0.08097,                 2.1898,                 2.2891,                 1.9309,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.7891,                 1.7394,                 1.6382,                0.33511,                0.23636,                0.21001,                0.08352,                 2.1378,                  2.276,                 1.8994,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.7952,                 1.7189,                 1.6125,                0.37148,                0.19835,                0.18602,                0.07708,                 2.1328,                 2.2905,                 1.8934,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.7548,                 1.7248,                 1.6161,                0.39166,                0.22479,                0.21026,                0.08477,                 2.1335,                 2.3174,                 1.8858,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.7506,                 1.7202,                 1.5889,                0.39906,                0.23967,                0.20987,                0.08749,                 2.1115,                 2.1679,                 1.8526,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.7323,                 1.6969,                 1.5848,                0.35785,                0.22314,                0.19318,                0.07951,                 2.1338,                 2.2213,                 1.9184,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.7625,                 1.6818,                 1.6133,                0.42239,                0.20826,                0.20041,                0.07739,                 2.2571,                 2.2323,                  1.993,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.7223,                  1.616,                 1.5687,                0.45361,                0.21488,                0.21713,                0.08806,                 2.2236,                 2.2261,                 1.9423,               0.001505,               0.001505,               0.001505
                     52,                 1.8113,                 1.7077,                 1.6644,                0.35271,                0.26281,                0.22082,                0.08847,                 2.1787,                 2.2511,                 1.9544,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.7759,                 1.7453,                 1.6493,                0.40251,                0.22149,                0.21989,                 0.0866,                 2.2464,                 2.2012,                 1.9678,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.7395,                 1.6768,                 1.5955,                0.39061,                0.26777,                0.22725,                0.09105,                 2.1686,                 2.0784,                 1.9186,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.6915,                  1.713,                 1.5906,                0.44379,                0.19835,                0.18767,                0.07614,                 2.1944,                 2.4242,                 1.9894,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.7546,                 1.7023,                 1.6049,                0.30159,                0.21653,                0.16915,                0.06779,                  2.174,                 2.2608,                  1.972,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.7249,                 1.7192,                 1.5845,                0.35072,                0.25289,                0.22531,                0.08932,                 2.1218,                 2.1093,                 1.9175,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.7069,                 1.6154,                 1.5647,                0.31396,                0.26942,                0.21273,                0.08588,                 2.1671,                 2.1423,                 1.9554,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.7179,                 1.6733,                 1.6026,                0.37543,                0.22314,                 0.2064,                0.08284,                  2.201,                 2.1692,                 1.9973,              0.0014258,              0.0014258,              0.0014258
                     60,                  1.762,                 1.6627,                 1.6595,                0.38009,                0.22645,                0.20113,                0.08591,                 2.1573,                  2.185,                 1.9345,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.7351,                 1.6568,                 1.6156,                0.38642,                0.24959,                0.22371,                0.09096,                 2.1914,                 2.1764,                 1.9692,               0.001406,               0.001406,               0.001406
                     62,                 1.6848,                 1.6203,                 1.5424,                0.31288,                0.27438,                0.22755,                 0.0964,                  2.126,                 2.1817,                 1.9404,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.7126,                 1.6232,                 1.5699,                0.36634,                0.24298,                0.22176,                0.08791,                 2.2274,                 2.1156,                 1.9754,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.6456,                 1.5415,                 1.5571,                0.41005,                 0.2314,                0.21602,                 0.0915,                 2.0998,                 2.2412,                 1.9288,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.6278,                 1.5677,                 1.5357,                0.34557,                 0.2505,                0.21564,                0.08934,                  2.124,                  2.173,                 1.9659,              0.0013664,              0.0013664,              0.0013664
                     66,                  1.647,                  1.544,                 1.5231,                0.34786,                 0.2314,                0.19367,                0.07833,                  2.189,                 2.3277,                 2.0027,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.6728,                 1.5957,                 1.5434,                0.40306,                0.23636,                0.21828,                0.08907,                 2.1828,                  2.264,                 1.9652,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.6733,                  1.538,                 1.5212,                0.43421,                0.24628,                 0.2395,                0.09983,                 2.1042,                 2.1617,                  1.898,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.632,                 1.5424,                 1.5247,                0.29886,                0.23306,                0.17558,                0.06948,                 2.1764,                 2.3755,                  1.939,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.6328,                 1.5164,                 1.5266,                0.51402,                 0.2028,                0.22009,                0.09971,                 2.1204,                 2.2151,                 1.8877,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.6278,                 1.5128,                 1.5191,                 0.3727,                 0.2281,                0.20583,                0.08825,                 2.1538,                 2.2704,                 1.9076,               0.001307,               0.001307,               0.001307
                     72,                 1.6593,                 1.4945,                  1.541,                0.51623,                0.21488,                0.22078,                0.09196,                 2.2024,                 2.2426,                 1.9549,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.6203,                  1.499,                 1.5225,                 0.4366,                0.24132,                0.21325,                 0.0873,                 2.2153,                 2.2811,                 1.9712,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.5849,                 1.4625,                 1.5111,                0.38323,                0.20496,                0.19921,                0.08815,                 2.1746,                 2.2816,                 1.9768,              0.0012773,              0.0012773,              0.0012773
                     75,                  1.601,                 1.4836,                 1.5278,                0.36405,                0.24298,                0.21323,                0.09739,                 2.0844,                 2.2214,                 1.9274,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.6461,                 1.4984,                 1.5261,                0.34367,                0.21983,                0.21071,                 0.0926,                 2.1482,                 2.1874,                 1.9815,              0.0012575,              0.0012575,              0.0012575
                     77,                  1.573,                 1.4528,                 1.5084,                0.41965,                0.25289,                0.23108,                0.09743,                 2.1443,                 2.2156,                 1.9649,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.5313,                 1.4308,                 1.4841,                0.39244,                0.20661,                0.19592,                0.08466,                  2.197,                 2.2247,                 2.0137,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.5669,                 1.4665,                 1.4447,                0.37077,                0.24628,                0.21925,                0.08668,                 2.2232,                  2.268,                 2.0576,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.5912,                 1.4628,                 1.5158,                0.38762,                0.21488,                 0.2175,                 0.0903,                 2.1099,                 2.2624,                 1.9467,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.5759,                 1.4613,                 1.4669,                0.38944,                0.23802,                0.21968,                0.09114,                 2.1795,                 2.2383,                 1.9782,               0.001208,               0.001208,               0.001208
                     82,                 1.6001,                 1.4599,                 1.4837,                0.50586,                0.22975,                0.23692,                0.10021,                 2.1621,                 2.2299,                 1.9833,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.5641,                  1.424,                 1.4784,                 0.4091,                 0.2281,                0.21472,                0.09219,                 2.2023,                 2.2454,                 2.0042,              0.0011882,              0.0011882,              0.0011882
                     84,                  1.548,                 1.3898,                 1.4711,                0.37637,                0.26446,                0.23551,                0.09938,                  2.222,                 2.0537,                 2.0207,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.5598,                 1.4223,                 1.5002,                 0.4458,                0.22314,                0.21546,                0.08994,                 2.2447,                 2.1148,                   2.04,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.5408,                 1.4031,                 1.4741,                0.41641,                0.25785,                0.24144,                0.10385,                 2.1587,                 2.1814,                 1.9967,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.4894,                 1.3696,                 1.4545,                0.41945,                0.25289,                0.23376,                0.09739,                 2.1688,                 2.2476,                 2.0238,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.5359,                 1.4181,                 1.4496,                0.39469,                0.24298,                0.21485,                0.09613,                 2.2076,                 2.3078,                 1.9875,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.5526,                 1.4114,                 1.4482,                0.40897,                0.23967,                0.22872,                0.09961,                 2.1998,                 2.3124,                 1.9895,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.5515,                 1.3871,                  1.471,                0.43572,                0.24793,                0.23931,                0.10159,                 2.1894,                 2.3481,                 2.0227,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.4786,                 1.4039,                 1.4621,                0.37711,                0.25124,                0.23975,                 0.1013,                 2.2102,                 2.2472,                 2.0526,               0.001109,               0.001109,               0.001109
                     92,                 1.5108,                 1.3347,                 1.4315,                0.49406,                0.21488,                 0.2295,                0.09761,                 2.2243,                 2.1997,                 2.0324,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.5278,                 1.3862,                 1.4537,                0.36315,                0.24959,                0.21749,                0.09125,                 2.1659,                  2.267,                 2.0043,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.5571,                 1.3729,                 1.4741,                0.45354,                0.25289,                0.23481,                0.09858,                 2.1567,                 2.2571,                 2.0317,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.5316,                 1.4021,                 1.4626,                0.44104,                0.24298,                0.21561,                0.09421,                 2.1785,                 2.3384,                 2.0804,              0.0010694,              0.0010694,              0.0010694
                     96,                  1.535,                 1.3625,                 1.4548,                0.39893,                0.24025,                0.21889,                 0.0963,                 2.1612,                 2.3754,                  2.057,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.4617,                 1.3317,                 1.4301,                0.43486,                 0.2281,                0.21809,                0.10148,                 2.1347,                 2.3605,                  1.996,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.4882,                 1.3457,                 1.4241,                0.42102,                0.24793,                0.22785,                 0.0997,                 2.1215,                 2.3577,                 1.9515,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.4917,                 1.3441,                 1.4069,                0.43766,                0.24313,                0.22983,                 0.1005,                 2.1592,                 2.2847,                 2.0004,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.4015,                 1.2955,                 1.3834,                 0.4062,                0.23967,                0.21904,                0.09914,                 2.1747,                 2.4257,                 2.0511,              0.0010199,              0.0010199,              0.0010199
